,ic_mean,icir
amount47,0.00801086982453185,0.061375102931755084
amount48,0.010511280464840197,0.08058200584199644
amount49,0.010580524254874036,0.08070791879509365
amount50,0.010571662299598683,0.08132584288658273
amount51,0.011162237024343127,0.08571637121109232
amount52,0.011324782778381342,0.08734352928603215
amount53,0.012637889053513957,0.09710024802377004
amount54,0.010840207073612489,0.0833867994323632
amount55,0.01087558183069461,0.083643777652556
amount56,0.009571671677064745,0.07344049084286855
amount57,0.00923231770325173,0.07043754674352277
amount58,0.009544089058325529,0.07337379928843285
amount59,0.008484152159488096,0.064853851793723
amount60,0.009933681471879665,0.07612217804909256
i1,-0.019613898517677343,-0.11299902193350889
i6,-0.02241816875529186,-0.16101585595559775
i7,-0.021143290088017033,-0.18931830111775666
i8,0.031642412028443596,0.19555014945047958
i9,-0.02226024143939447,-0.1446140415968783
i10,-0.020864584650010662,-0.13827445288242823
